canonical_term,source,frequency,taxonomy_tag,variants
program,contentTags,72,,program
general,contentTags,67,,general
conference,contentTags,54,networking-events,conference
bootcamps,contentTags,48,training-workshops,bootcamps
training,contentTags,48,training-workshops,training
remote,contentTags,43,remote-digital-skills,remote
internship,contentTags,42,internship,internship | internships
full-time,contentTags,39,jobs-careers,full-time
grants,contentTags,37,scholarships-grants,grants | grant
workshop,contentTags,20,training-workshops,workshop | Workshop
scholarship,contentTags,20,scholarships-grants,scholarship | scholarships
contract,contentTags,17,,contract
senior,contentTags,16,,senior
fellowship,contentTags,16,fellowship,fellowship | fellowships
other,contentTags,15,,other
exhibition,contentTags,14,,exhibition
business,contentTags,9,business-finance,business
engineering,contentTags,9,technology,engineering
management,contentTags,9,business-finance,management | Management
junior,contentTags,8,,junior
permanent,contentTags,8,,permanent
networking,contentTags,8,networking-events,networking | Networking
technology,contentTags,8,technology,technology | Technology
award,contentTags,7,competition,award
seminar,contentTags,7,training-workshops,seminar
mid-level,contentTags,6,,mid-level
administration,contentTags,5,government-public,administration
call-for-applications,contentTags,4,competition,call-for-applications
competition,contentTags,4,competition,competition
innovation,contentTags,4,,innovation
executive,contentTags,4,,executive | executives
certification,contentTags,3,training-workshops,certification
customer-service,contentTags,3,,customer-service
expo,contentTags,3,networking-events,expo
it,contentTags,3,,it
jobs,contentTags,3,jobs-careers,jobs
tech,contentTags,3,technology,tech
finance,contentTags,3,business-finance,finance | Finance
graphics-design,contentTags,3,,graphics-design | graphic_design
Lagos,contentTags,3,,Lagos | lagos
leadership,contentTags,3,skill-development,leadership | Leadership
nigeria,contentTags,3,,nigeria | Nigeria
AI,contentTags,2,,AI
contests,contentTags,2,competition,contests
education,contentTags,2,education-training,education
entertainment,contentTags,2,,entertainment
entry-level,contentTags,2,,entry-level
future,contentTags,2,,future
ghana,contentTags,2,,ghana
part-time,contentTags,2,jobs-careers,part-time
party,contentTags,2,,party
sales,contentTags,2,business-finance,sales
social-media,contentTags,2,,social-media
ui/ux-design,contentTags,2,,ui/ux-design
startup,contentTags,2,entrepreneurship-funding,startup | startups
algeria,contentTags,1,,algeria
Art,contentTags,1,creative-media,Art
Artofpitching,contentTags,1,,Artofpitching
Blockchain,contentTags,1,,Blockchain
career,contentTags,1,jobs-careers,career
Christianity,contentTags,1,,Christianity
coding,contentTags,1,,coding
Creatives,contentTags,1,creative-media,Creatives
Culture,contentTags,1,,Culture
data-analysis,contentTags,1,,data-analysis
digital,contentTags,1,,digital
digital media,contentTags,1,,digital media
Digital Transformation,contentTags,1,,Digital Transformation
digitalconference,contentTags,1,,digitalconference
egypt,contentTags,1,,egypt
energy,contentTags,1,,energy
entrepreneurship,contentTags,1,entrepreneurship-funding,entrepreneurship
Event,contentTags,1,,Event
festival,contentTags,1,,festival
Founders,contentTags,1,entrepreneurship-funding,Founders
freelancers,contentTags,1,remote-digital-skills,freelancers
full-stack-development,contentTags,1,,full-stack-development
gaming,contentTags,1,,gaming
investment,contentTags,1,entrepreneurship-funding,investment
learning,contentTags,1,,learning
marketers,contentTags,1,,marketers
Nigerian Event Hostess,contentTags,1,,Nigerian Event Hostess
OpenGov,contentTags,1,,OpenGov
parenting,contentTags,1,,parenting
parenting conference,contentTags,1,,parenting conference
private capital,contentTags,1,,private capital
product-design,contentTags,1,,product-design
Salespeople,contentTags,1,,Salespeople
shoe,contentTags,1,,shoe
Showcase,contentTags,1,,Showcase
skillbuilding,contentTags,1,,skillbuilding
social,contentTags,1,,social
strategy,contentTags,1,,strategy
study abroad,contentTags,1,international-programs,study abroad
summit,contentTags,1,networking-events,summit
talk,contentTags,1,,talk
Testimony of Faith,contentTags,1,,Testimony of Faith
Theology,contentTags,1,,Theology
theultimatepitchdeck,contentTags,1,,theultimatepitchdeck
wealth,contentTags,1,,wealth
womenempowerment,contentTags,1,,womenempowerment
womenintech,contentTags,1,,womenintech
bootcamps,contentCategory,48,training-workshops,bootcamps
course,contentCategory,35,training-workshops,course | Course
grants,contentCategory,27,scholarships-grants,grants | grant
internships,contentCategory,6,internship,internships
scholarships,contentCategory,6,scholarships-grants,scholarships | scholarship
Tool,contentCategory,5,,Tool
call-for-applications,contentCategory,4,competition,call-for-applications
fellowships,contentCategory,4,fellowship,fellowships
contests,contentCategory,2,competition,contests
E-book,contentCategory,2,,E-book
article,contentCategory,1,,article
egypt,contentCategory,1,,egypt
ghana,contentCategory,1,,ghana
Guide,contentCategory,1,,Guide
other,contentCategory,1,,other
Template,contentCategory,1,,Template
Tutorial,contentCategory,1,,Tutorial
Technology,contentSectors,228,technology,Technology
Arts,contentSectors,120,creative-media,Arts | arts
Media,contentSectors,111,creative-media,Media | media
Education,contentSectors,96,education-training,Education
Finance,contentSectors,93,business-finance,Finance | finance
Energy,contentSectors,68,,Energy | energy
Business,contentSectors,64,business-finance,Business
Healthcare,contentSectors,37,health-sciences,Healthcare
Agriculture,contentSectors,10,agriculture-environment,Agriculture
tech,contentSectors,10,technology,tech
government,contentSectors,2,government-public,government
commerce,contentSectors,1,,commerce
Professionals,contentAudience,130,,Professionals | professionals
Students,contentAudience,98,,Students
Youth,contentAudience,70,youth-women-inclusion,Youth
Entrepreneurs,contentAudience,52,entrepreneurship-funding,Entrepreneurs | entrepreneurs
Researchers,contentAudience,40,,Researchers
Women,contentAudience,18,youth-women-inclusion,Women
executives,contentAudience,5,,executives
creatives,contentAudience,1,creative-media,creatives
Developers,contentAudience,1,technology,Developers
investors,contentAudience,1,,investors
juniors,contentAudience,1,,juniors
Jobs & Career Opportunities,profileInterests,1593,jobs-careers,Jobs & Career Opportunities
Networking Events,profileInterests,1566,networking-events,Networking Events
Remote Work & Digital Skills,profileInterests,1518,remote-digital-skills,Remote Work & Digital Skills
