term,source,facet,frequency
jobs-careers,curated_taxonomy,interest,
scholarships-grants,curated_taxonomy,interest,
training-workshops,curated_taxonomy,interest,
networking-events,curated_taxonomy,interest,
volunteering,curated_taxonomy,interest,
entrepreneurship-funding,curated_taxonomy,interest,
remote-digital-skills,curated_taxonomy,interest,
research-academic,curated_taxonomy,interest,
international-programs,curated_taxonomy,interest,
technology,curated_taxonomy,industry,
creative-media,curated_taxonomy,industry,
business-finance,curated_taxonomy,industry,
health-sciences,curated_taxonomy,industry,
education-training,curated_taxonomy,industry,
government-public,curated_taxonomy,industry,
agriculture-environment,curated_taxonomy,industry,
internship,curated_taxonomy,format,
fellowship,curated_taxonomy,format,
competition,curated_taxonomy,format,
mentorship,curated_taxonomy,support,
skill-development,curated_taxonomy,support,
youth-women-inclusion,curated_taxonomy,audience,
program,content,tags,72
general,content,tags,67
conference,content,tags,54
bootcamps,content,tags,48
training,content,tags,48
remote,content,tags,43
full-time,content,tags,39
internship,content,tags,27
grants,content,tags,26
workshop,content,tags,19
contract,content,tags,17
senior,content,tags,16
internships,content,tags,15
other,content,tags,15
scholarship,content,tags,15
exhibition,content,tags,14
fellowship,content,tags,12
grant,content,tags,11
business,content,tags,9
engineering,content,tags,9
junior,content,tags,8
management,content,tags,8
permanent,content,tags,8
award,content,tags,7
networking,content,tags,7
seminar,content,tags,7
mid-level,content,tags,6
technology,content,tags,6
administration,content,tags,5
scholarships,content,tags,5
call-for-applications,content,tags,4
competition,content,tags,4
fellowships,content,tags,4
innovation,content,tags,4
certification,content,tags,3
customer-service,content,tags,3
expo,content,tags,3
it,content,tags,3
jobs,content,tags,3
tech,content,tags,3
AI,content,tags,2
contests,content,tags,2
education,content,tags,2
entertainment,content,tags,2
entry-level,content,tags,2
executive,content,tags,2
executives,content,tags,2
finance,content,tags,2
future,content,tags,2
ghana,content,tags,2
graphics-design,content,tags,2
Lagos,content,tags,2
leadership,content,tags,2
nigeria,content,tags,2
part-time,content,tags,2
party,content,tags,2
sales,content,tags,2
social-media,content,tags,2
Technology,content,tags,2
ui/ux-design,content,tags,2
algeria,content,tags,1
Art,content,tags,1
Artofpitching,content,tags,1
Blockchain,content,tags,1
career,content,tags,1
Christianity,content,tags,1
coding,content,tags,1
Creatives,content,tags,1
Culture,content,tags,1
data-analysis,content,tags,1
digital,content,tags,1
digital media,content,tags,1
Digital Transformation,content,tags,1
digitalconference,content,tags,1
egypt,content,tags,1
energy,content,tags,1
entrepreneurship,content,tags,1
Event,content,tags,1
festival,content,tags,1
Finance,content,tags,1
Founders,content,tags,1
freelancers,content,tags,1
full-stack-development,content,tags,1
gaming,content,tags,1
graphic_design,content,tags,1
investment,content,tags,1
lagos,content,tags,1
Leadership,content,tags,1
learning,content,tags,1
Management,content,tags,1
marketers,content,tags,1
Networking,content,tags,1
Nigeria,content,tags,1
Nigerian Event Hostess,content,tags,1
OpenGov,content,tags,1
parenting,content,tags,1
parenting conference,content,tags,1
private capital,content,tags,1
product-design,content,tags,1
Salespeople,content,tags,1
shoe,content,tags,1
Showcase,content,tags,1
skillbuilding,content,tags,1
social,content,tags,1
startup,content,tags,1
startups,content,tags,1
strategy,content,tags,1
study abroad,content,tags,1
summit,content,tags,1
talk,content,tags,1
Testimony of Faith,content,tags,1
Theology,content,tags,1
theultimatepitchdeck,content,tags,1
wealth,content,tags,1
womenempowerment,content,tags,1
womenintech,content,tags,1
Workshop,content,tags,1
bootcamps,content,category,48
course,content,category,30
grants,content,category,26
internships,content,category,6
Course,content,category,5
scholarships,content,category,5
Tool,content,category,5
call-for-applications,content,category,4
fellowships,content,category,4
contests,content,category,2
E-book,content,category,2
article,content,category,1
egypt,content,category,1
ghana,content,category,1
grant,content,category,1
Guide,content,category,1
other,content,category,1
scholarship,content,category,1
Template,content,category,1
Tutorial,content,category,1
Technology,content,industrySectors,228
Arts,content,industrySectors,114
Media,content,industrySectors,100
Education,content,industrySectors,96
Finance,content,industrySectors,92
Energy,content,industrySectors,65
Business,content,industrySectors,64
Healthcare,content,industrySectors,37
media,content,industrySectors,11
Agriculture,content,industrySectors,10
tech,content,industrySectors,10
arts,content,industrySectors,6
energy,content,industrySectors,3
government,content,industrySectors,2
commerce,content,industrySectors,1
finance,content,industrySectors,1
Professionals,content,targetAudience,127
Students,content,targetAudience,98
Youth,content,targetAudience,70
Entrepreneurs,content,targetAudience,48
Researchers,content,targetAudience,40
Women,content,targetAudience,18
executives,content,targetAudience,5
entrepreneurs,content,targetAudience,4
professionals,content,targetAudience,3
creatives,content,targetAudience,1
Developers,content,targetAudience,1
investors,content,targetAudience,1
juniors,content,targetAudience,1
communication,hashtag_registry,skill,404
teammanagement,hashtag_registry,skill,385
problemsolver,hashtag_registry,skill,197
theonlywayisup,hashtag_registry,hashtag,167
glowup,hashtag_registry,hashtag,125
problemsolving,hashtag_registry,skill,94
dataentry,hashtag_registry,skill,77
contentcreation,hashtag_registry,skill,75
microsoftexcel,hashtag_registry,skill,72
calendarmanagement,hashtag_registry,skill,69
emailoptimization,hashtag_registry,skill,65
financialanalyst,hashtag_registry,skill,61
leadgeneration,hashtag_registry,skill,55
videoeditor,hashtag_registry,skill,49
projectmanagement,hashtag_registry,skill,44
socialmediadesign,hashtag_registry,skill,44
doinghardthing,hashtag_registry,hashtag,42
videographer,hashtag_registry,skill,42
storytelling,hashtag_registry,skill,40
cheatcode,hashtag_registry,hashtag,38
learntocode,hashtag_registry,hashtag,38
adaptability,hashtag_registry,skill,38
leadership,hashtag_registry,skill,37
capcut,hashtag_registry,skill,33
canva,hashtag_registry,skill,33
webdev,hashtag_registry,both,31
softwareengineering,hashtag_registry,both,28
programming,hashtag_registry,both,28
contentwriting,hashtag_registry,skill,26
goggledoc,hashtag_registry,skill,26
lockedin,hashtag_registry,hashtag,24
skillbuilding,hashtag_registry,both,24
photoediting,hashtag_registry,skill,24
communicationmanager,hashtag_registry,skill,23
coding,hashtag_registry,hashtag,21
100daysofcode,hashtag_registry,hashtag,21
tech2026,hashtag_registry,hashtag,21
nextlevel,hashtag_registry,hashtag,21
activeincome,hashtag_registry,hashtag,21
therighttimeisnow,hashtag_registry,hashtag,21
careerstrategy,hashtag_registry,hashtag,21
quantumleap,hashtag_registry,hashtag,21
connectmarketing,hashtag_registry,skill,21
trello,hashtag_registry,skill,21
leadership&coordination,hashtag_registry,skill,21
marketing,hashtag_registry,skill,20
videoediting,hashtag_registry,skill,18
photography,hashtag_registry,skill,18
nileonline,hashtag_registry,hashtag,17
teamwork,hashtag_registry,skill,17
growthengine,hashtag_registry,hashtag,16
research,hashtag_registry,skill,16
activeincomegirlies,hashtag_registry,hashtag,16
accessforafricans,hashtag_registry,both,16
videography,hashtag_registry,skill,16
internationalwomensmonth,hashtag_registry,hashtag,15
eventsinnmarch,hashtag_registry,hashtag,15
womenempowerment,hashtag_registry,hashtag,15
womenevents,hashtag_registry,hashtag,15
nutritionalscience,hashtag_registry,skill,14
writing,hashtag_registry,skill,13
up,hashtag_registry,hashtag,11
welcome,hashtag_registry,hashtag,11
productivity,hashtag_registry,both,11
salesclosing,hashtag_registry,skill,11
innovation,hashtag_registry,both,10
socialmedia,hashtag_registry,skill,10
javascript,hashtag_registry,skill,9
iwd,hashtag_registry,hashtag,9
givetogain,hashtag_registry,hashtag,9
theultimatepitchdeck,hashtag_registry,hashtag,8
doinghardthings,hashtag_registry,hashtag,8
app,hashtag_registry,hashtag,7
job,hashtag_registry,hashtag,7
upupwego,hashtag_registry,hashtag,7
graphicdesign,hashtag_registry,skill,7
grateful,hashtag_registry,hashtag,7
thankgoditsfriday,hashtag_registry,hashtag,7
gratitudefriday,hashtag_registry,hashtag,7
mindset,hashtag_registry,hashtag,7
manifesting,hashtag_registry,hashtag,7
contentstrategist,hashtag_registry,skill,7
contentmarketing,hashtag_registry,both,6
networking,hashtag_registry,both,6
trip,hashtag_registry,hashtag,6
wanderlust,hashtag_registry,hashtag,6
sales,hashtag_registry,skill,6
executiveassisting,hashtag_registry,skill,5
businessowners,hashtag_registry,both,5
hospitality,hashtag_registry,skill,4
accounting,hashtag_registry,skill,4
makeup,hashtag_registry,both,4
graphicsdesign,hashtag_registry,both,4
lockin,hashtag_registry,hashtag,4
students,hashtag_registry,hashtag,4
lock,hashtag_registry,hashtag,4
proficiencyinmicrosoft,hashtag_registry,skill,4
storywriting,hashtag_registry,skill,4
businessexpansion,hashtag_registry,hashtag,4
startups,hashtag_registry,hashtag,4
techfounders,hashtag_registry,hashtag,4
entrepreneurship,hashtag_registry,hashtag,4
businessinwestafrica,hashtag_registry,hashtag,4
entertainment,hashtag_registry,hashtag,3
savings,hashtag_registry,hashtag,3
interior,hashtag_registry,hashtag,3
learning,hashtag_registry,hashtag,3
recipe,hashtag_registry,hashtag,3
communitymanager,hashtag_registry,skill,3
hackaton,hashtag_registry,hashtag,3
dataanalysis,hashtag_registry,skill,3
growth,hashtag_registry,hashtag,3
beprepared,hashtag_registry,hashtag,3
money,hashtag_registry,hashtag,2
outfit,hashtag_registry,hashtag,2
goals,hashtag_registry,hashtag,2
beauty,hashtag_registry,hashtag,2
meditation,hashtag_registry,hashtag,2
inspiration,hashtag_registry,hashtag,2
travel,hashtag_registry,hashtag,2
digital,hashtag_registry,hashtag,2
home,hashtag_registry,hashtag,2
personaldevelopment,hashtag_registry,hashtag,2
sports,hashtag_registry,hashtag,2
